BLM,ELM,ID_NUMBER,ROW ,No. Lns.,Spd_Limit,Terrain,Land_Use,Illum,Operation,AccCtrl,Sch Spd Limit,Truck Spd Limit
0,0.141,330E481001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.107,330E490001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.045,330E528001,28,1,-10,2,2,-10,2,0,-10,-10
0,0.47,330E547001,32,1,-10,3,0,-10,2,0,-10,-10
0,0.456,330E549001,36,1,25,2,0,-10,2,0,-10,-10
0,0.285,330E551001,50,1,-10,2,2,1,2,0,-10,-10
0,0.119,330E628001,50,1,-10,2,7,-10,2,0,-10,-10
0,0.211,330E652001,50,1,30,2,2,-10,2,0,-10,-10
0,0.05,330E667001,30,1,-10,2,7,1,2,0,-10,-10
0,0.173,330E839001,40,1,-10,2,0,-10,2,0,-10,-10
0,0.159,330E901001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.142,330E989001,28,1,-10,2,0,-10,2,0,-10,-10
0,0.296,330E997001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.418,330F013001,78,1,-10,2,0,-10,2,0,-10,-10
0,0.221,330F043001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.204,330F105001,24,1,-10,2,0,-10,2,0,-10,-10
0,0.118,330F113001,36,1,20,2,7,-10,2,0,-10,-10
0,0.516,330F178001,32,1,25,2,7,-10,2,0,-10,-10
0,0.084,330F179001,28,1,-10,2,0,-10,2,0,-10,-10
0,0.119,330F180001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.056,330F199001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.087,330F303001,32,1,-10,2,7,1,2,0,-10,-10
0,0.123,330F466001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.041,330F735001,52,1,-10,2,7,1,2,0,-10,-10
0,0.122,330F763001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.078,330F832001,24,1,-10,2,0,-10,2,0,-10,-10
0,0.026,330F926001,52,1,-10,2,0,-10,2,0,-10,-10
0,0.062,330F958001,80,1,-10,2,0,-10,2,0,-10,-10
0,0.069,330F980001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.14,330F985001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.059,330F988001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.165,330G035001,28,1,-10,2,7,1,2,0,-10,-10
0,0.116,330G071001,40,1,-10,2,0,-10,2,0,-10,-10
0,0.219,330G116001,56,1,-10,2,7,-10,2,0,-10,-10
0,0.079,330G123001,52,1,-10,2,0,-10,2,0,-10,-10
0,0.052,330G135001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.435,330G166001,40,1,10,2,0,-10,2,0,-10,-10
0,0.131,330G182001,56,1,-10,2,0,-10,2,0,-10,-10
0,0.061,330G215001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.05,330G216001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.035,330G217001,32,1,-10,2,0,-10,2,0,-10,-10
0,0.325,330G219001,32,1,-10,2,0,-10,2,0,-10,-10
0,0.067,330G436001,36,1,-10,2,0,-10,2,0,-10,-10
0.035,0.12,330E316001,24,1,-10,2,7,1,2,0,-10,-10
0.045,0.145,330E331001,28,1,25,2,0,-10,2,0,-10,-10
0.055,0.239,330E333001,28,1,-10,2,0,-10,2,0,-10,-10
0.06,0.142,330B349001,28,1,-10,2,7,1,2,0,-10,-10
0.06,0.227,330E185001,34,1,-10,2,0,-10,2,0,-10,-10
0.066,0.354,330D666001,32,1,25,2,0,-10,2,0,-10,-10
0.066,0.196,330E097001,36,1,-10,2,7,-10,2,0,-10,-10
0.068,0.19,330C618001,32,1,-10,2,7,-10,2,0,-10,-10
0.07,0.171,330B322001,28,1,-10,2,7,-10,2,0,-10,-10
0.07,0.19,330B361001,36,1,-10,2,7,-10,2,0,-10,-10
0.07,0.61,330F845001,44,1,-10,2,0,-10,2,0,-10,-10
0.078,0.464,330E115001,36,1,25,2,0,-10,2,0,-10,-10
0.08,0.242,330B317001,88,1,25,2,7,1,2,0,-10,-10
0.08,0.163,330D931001,32,1,-10,2,7,-10,2,0,-10,-10
0.08,0.233,330E390001,50,1,-10,2,4,-10,2,0,-10,-10
0.084,0.34,330B300001,34,1,-10,2,7,-10,1,0,-10,-10
0.09,0.243,330A873001,80,1,30,2,4,1,2,0,15,-10
0.09,0.228,330F352001,26,1,-10,2,0,-10,2,0,-10,-10
0.091,0.177,330C276001,36,1,-10,2,0,-10,2,0,-10,-10
0.091,0.298,330C681001,116,1,-10,2,7,1,2,0,-10,-10
0.1,0.185,330A753001,32,1,-10,2,7,1,2,0,-10,-10
0.1,0.172,330D391001,32,1,-10,2,9,-10,1,0,-10,-10
0.1,0.179,330D402001,30,1,-10,2,7,-10,2,0,-10,-10
0.1,0.312,330E088001,32,1,25,2,0,-10,2,0,-10,-10
0.11,0.23,330B146001,36,1,-10,2,7,-10,2,0,-10,-10
0.11,0.2,330D651001,36,1,-10,2,7,-10,2,0,-10,-10
0.11,0.242,330D808001,28,1,-10,3,0,-10,2,0,-10,-10
0.116,0.276,330A274001,32,1,-10,2,7,-10,2,0,-10,-10
0.12,0.22,330E561001,50,1,20,2,7,-10,1,0,-10,-10
0.121,0.201,330A736001,120,1,-10,2,5,1,2,0,-10,-10
0.122,0.26,330A727001,28,1,-10,2,7,-10,2,0,-10,-10
0.124,0.223,330A250001,35,1,-10,2,7,1,2,0,-10,-10
0.13,0.216,330A262001,28,1,-10,2,7,1,2,0,-10,-10
0.135,0.28,3304425001,60,1,-10,2,9,1,1,0,-10,-10
0.14,0.217,330D764001,28,1,-10,2,7,-10,2,0,-10,-10
0.141,0.253,330E481001,24,1,-10,2,0,-10,2,0,-10,-10
0.142,0.221,330B349001,28,1,-10,2,7,-10,2,0,-10,-10
0.142,0.75,330C022001,36,1,20,2,7,-10,2,0,-10,-10
0.15,0.237,330D589001,36,1,-10,2,7,1,2,0,-10,-10
0.15,0.308,330D743001,32,1,-10,2,7,-10,2,0,-10,-10
0.15,0.283,330D966001,36,1,-10,2,7,-10,2,0,-10,-10
0.16,0.306,330A217001,28,1,-10,2,7,1,2,0,-10,-10
0.16,0.36,330D630001,36,1,-10,2,7,-10,2,0,-10,-10
0.16,0.323,330E397001,28,1,-10,2,7,-10,2,0,-10,-10
