GRID_ID,Join_Count,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Center_Lat,Center_Long
X-16,38,432,2,2,16,35.08922564,-85.29897311
Y-16,111,433,2,2,19,35.08498111,-85.29162136
Z-16,31,434,2,2,19,35.08922564,-85.28426962
AA-16,1,435,NA,NA,NA,35.08498111,-85.27691787
AB-16,1,436,2,2,19,35.08922564,-85.26956613
AC-16,249,437,4,2,14,35.08498111,-85.26221438
AD-16,76,438,4,2,14,35.08922564,-85.25486264
AE-16,3,439,2,2,19,35.08498111,-85.24751089
AF-16,3,440,2,2,19,35.08922564,-85.24015915
AG-16,23,441,2,2,19,35.08498111,-85.2328074
AH-16,48,442,4,2,14,35.08922564,-85.22545566
AI-16,122,443,2,2,19,35.08498111,-85.21810391
AJ-16,98,444,2,2,19,35.08922564,-85.21075217
AK-16,287,445,2,2,19,35.08498111,-85.20340042
AL-16,68,446,2,2,19,35.08922564,-85.19604868
AM-16,260,447,2,2,19,35.08498111,-85.18869693
AN-16,172,448,2,2,19,35.08922564,-85.18134519
AO-16,28,449,2,2,19,35.08498111,-85.17399344
AP-16,1,450,2,2,19,35.08922564,-85.1666417
AQ-16,17,451,2,2,17,35.08498111,-85.15928996
AT-16,22,452,NA,NA,NA,35.08922564,-85.13723472
AV-16,1,453,NA,NA,NA,35.08922564,-85.12253123
AW-16,2,454,NA,NA,NA,35.08498111,-85.11517949
AY-16,1,455,NA,NA,NA,35.08498111,-85.100476
AZ-16,2,456,2,2,19,35.08922564,-85.09312425
BA-16,20,457,2,2,19,35.08498111,-85.08577251
BB-16,76,458,2,2,19,35.08922564,-85.07842076
BC-16,447,459,2,2,16,35.08498111,-85.07106902
BD-16,289,460,2,2,16,35.08922564,-85.06371727
BE-16,304,461,2,2,16,35.08498111,-85.05636553
P-15,0,462,1,2,19,35.0977147,-85.35778706
Q-15,0,463,1,2,19,35.09347017,-85.35043532
R-15,17,464,2,2,16,35.0977147,-85.34308357
S-15,0,465,2,2,19,35.09347017,-85.33573183
T-15,372,466,2,2,19,35.0977147,-85.32838008
U-15,30,467,2,2,12,35.09347017,-85.32102834
Y-15,5,468,2,2,19,35.09347017,-85.29162136
Z-15,39,469,2,2,19,35.0977147,-85.28426962
AA-15,2,470,2,2,19,35.09347017,-85.27691787
AB-15,8,471,2,2,19,35.0977147,-85.26956613
AC-15,6,472,2,2,19,35.09347017,-85.26221438
AD-15,72,473,6,2,12,35.0977147,-85.25486264
AE-15,84,474,4,2,14,35.09347017,-85.24751089
AF-15,184,475,4,2,14,35.0977147,-85.24015915
AG-15,19,476,2,2,19,35.09347017,-85.2328074
AH-15,103,477,4,2,12,35.0977147,-85.22545566
AI-15,180,478,2,2,12,35.09347017,-85.21810391
AJ-15,2,479,2,2,18,35.0977147,-85.21075217
AK-15,8,480,2,2,19,35.09347017,-85.20340042
AL-15,10,481,2,2,19,35.0977147,-85.19604868
AM-15,81,482,2,2,19,35.09347017,-85.18869693
AN-15,55,483,2,2,19,35.0977147,-85.18134519
AO-15,72,484,2,2,19,35.09347017,-85.17399344
AP-15,39,485,5,2,14,35.0977147,-85.1666417
AQ-15,8,486,2,2,17,35.09347017,-85.15928996
AT-15,0,487,2,2,19,35.0977147,-85.13723472
AU-15,11,488,2,2,19,35.09347017,-85.12988298
AZ-15,2,489,2,2,19,35.0977147,-85.09312425
