Longitude,Latitude,Hour,Date
-85.254192,35.015818,8,4/23/2020
-85.243299,35.047567,8,4/23/2020
-85.07423,35.062983,9,4/23/2020
-85.217565,35.010978,9,4/23/2020
-85.19862,34.992988,10,4/23/2020
-85.249376,34.986362,10,4/23/2020
-85.248269,35.124232,10,4/23/2020
-85.289105,35.045235,10,4/23/2020
-85.289105,35.045235,10,4/23/2020
-85.289105,35.045235,10,4/23/2020
-85.282902,35.011932,12,4/23/2020
-85.184541,35.253596,13,4/23/2020
-85.184541,35.253596,13,4/23/2020
-85.11417,35.019599,13,4/23/2020
-85.309646,35.05662,13,4/23/2020
-85.309646,35.05662,13,4/23/2020
-85.363726,35.026134,13,4/23/2020
-85.150002,35.040336,13,4/23/2020
-85.150941,35.040129,13,4/23/2020
-85.150002,35.040336,13,4/23/2020
-85.150365,35.003845,14,4/23/2020
-85.279901,35.009791,15,4/23/2020
-85.279396,35.010334,15,4/23/2020
-85.279901,35.009791,15,4/23/2020
-85.279901,35.009791,15,4/23/2020
-85.286067,35.01241,15,4/23/2020
-85.286067,35.01241,15,4/23/2020
-85.313586,35.033352,16,4/23/2020
-85.31365,35.03336,16,4/23/2020
-85.313586,35.033352,16,4/23/2020
-85.227019,35.012088,18,4/23/2020
-85.226509,35.011715,18,4/23/2020
-85.226405,35.011876,18,4/23/2020
-85.226405,35.011876,18,4/23/2020
-85.22846,35.013535,18,4/23/2020
-85.22509,35.01156,18,4/23/2020
-85.22846,35.013535,18,4/23/2020
-85.22846,35.013535,18,4/23/2020
-85.237299,35.047083,18,4/23/2020
-85.238216,35.046965,18,4/23/2020
-85.237299,35.047083,18,4/23/2020
-85.238216,35.046965,18,4/23/2020
-85.310664,35.052295,19,4/23/2020
-85.241349,35.040013,21,4/23/2020
-85.241349,35.040013,21,4/23/2020
-85.241349,35.040013,21,4/23/2020
-85.31947,35.08024,21,4/23/2020
-85.285924,34.999088,22,4/23/2020
-85.285924,34.999088,22,4/23/2020
-85.285924,34.999088,22,4/23/2020
-85.276576,35.026514,1,4/24/2020
-85.237456,34.995816,2,4/24/2020
-85.237456,34.995816,2,4/24/2020
-85.337846,35.139074,3,4/24/2020
-85.337846,35.139074,3,4/24/2020
-85.229018,35.104278,6,4/24/2020
-85.213683,35.220302,7,4/24/2020
-85.121993,35.339399,7,4/24/2020
-85.121993,35.339399,7,4/24/2020
-85.121993,35.339399,7,4/24/2020
-85.160259,35.201052,8,4/24/2020
-85.183783,35.241869,9,4/24/2020
-85.183783,35.241869,10,4/24/2020
-85.183783,35.241869,10,4/24/2020
-85.149653,35.034718,10,4/24/2020
-85.127083,35.041516,11,4/24/2020
-85.172663,35.017644,11,4/24/2020
-85.21308,35.21092,12,4/24/2020
-85.21228,35.211946,12,4/24/2020
-85.278078,35.017683,12,4/24/2020
-85.231335,35.007228,13,4/24/2020
-85.292773,35.00235,13,4/24/2020
-85.1629,35.046981,13,4/24/2020
-85.313404,35.032552,14,4/24/2020
-85.26665,35.038213,14,4/24/2020
-85.292166,35.001399,15,4/24/2020
-85.168462,35.040619,16,4/24/2020
-85.278029,35.160139,16,4/24/2020
-85.239439,35.12384,16,4/24/2020
-85.071062,35.087713,16,4/24/2020
-85.070016,35.087472,16,4/24/2020
-85.221535,35.03401,16,4/24/2020
-85.176414,35.17114,16,4/24/2020
-85.176414,35.17114,16,4/24/2020
-85.176414,35.17114,16,4/24/2020
-85.138374,35.317192,16,4/24/2020
-85.268992,35.055589,17,4/24/2020
-85.240129,35.123297,17,4/24/2020
-85.221535,35.03401,17,4/24/2020
-85.286626,34.985025,17,4/24/2020
-85.268992,35.055589,17,4/24/2020
-85.06329,35.08082,18,4/24/2020
-85.206516,35.146848,18,4/24/2020
-85.133408,34.99926,18,4/24/2020
-85.133408,34.99926,18,4/24/2020
-85.133408,34.99926,18,4/24/2020
-85.20743,35.202555,18,4/24/2020
-85.131161,35.000965,19,4/24/2020
-85.267073,35.000324,19,4/24/2020
-85.210879,35.10977,20,4/24/2020
-85.250573,35.151413,20,4/24/2020
-85.399063,34.994957,23,4/24/2020
-85.197633,35.022864,1,4/25/2020
-85.197633,35.022864,1,4/25/2020
-85.197633,35.022864,1,4/25/2020
-85.249628,35.150869,7,4/25/2020
-85.172841,35.020465,10,4/25/2020
-85.156954,35.04287,10,4/25/2020
-85.263142,35.142369,13,4/25/2020
-85.155983,35.032666,13,4/25/2020
-85.23222,35.12455,13,4/25/2020
-85.158706,35.034528,14,4/25/2020
