BLM,ELM,Route,ID NUMBER,Feature Type,Feature Composition
8.33,8.496,SR008,33SR008001,19,15
8.33,8.496,SR008,33SR008001,19,15
8.496,8.64,SR008,33SR008001,19,15
8.64,8.787,SR008,33SR008001,19,15
8.64,8.787,SR008,33SR008001,19,15
8.787,8.91,SR008,33SR008001,19,15
8.787,8.91,SR008,33SR008001,19,15
8.91,8.96,SR008,33SR008001,19,15
8.91,8.96,SR008,33SR008001,19,15
8.96,9.23,SR008,33SR008001,19,15
9.23,9.648,SR008,33SR008001,19,15
9.23,9.648,SR008,33SR008001,19,15
9.648,9.68,SR008,33SR008001,19,15
9.68,10.06,SR008,33SR008001,19,18
10.06,10.14,SR008,33SR008001,19,15
10.06,10.14,SR008,33SR008001,19,15
10.14,10.28,SR008,33SR008001,19,15
10.14,10.28,SR008,33SR008001,19,15
10.28,10.42,SR008,33SR008001,19,15
10.42,10.56,SR008,33SR008001,19,15
10.42,10.56,SR008,33SR008001,19,15
10.56,10.82,SR008,33SR008001,19,15
10.82,11.08,SR008,33SR008001,19,15
10.82,11.08,SR008,33SR008001,19,15
11.08,11.14,SR008,33SR008001,19,15
11.14,11.2,SR008,33SR008001,19,18
11.2,11.62,SR008,33SR008001,19,15
11.62,11.79,SR008,33SR008001,19,15
11.79,11.96,SR008,33SR008001,19,15
11.79,11.96,SR008,33SR008001,19,15
11.96,12.07,SR008,33SR008001,19,15
11.96,12.07,SR008,33SR008001,19,15
12.07,12.12,SR008,33SR008001,19,15
12.07,12.12,SR008,33SR008001,19,15
12.12,12.2,SR008,33SR008001,19,15
12.12,12.2,SR008,33SR008001,19,15
12.2,12.31,SR008,33SR008001,19,15
12.2,12.31,SR008,33SR008001,19,15
12.31,12.38,SR008,33SR008001,19,15
12.31,12.38,SR008,33SR008001,19,15
12.38,12.45,SR008,33SR008001,19,15
12.38,12.45,SR008,33SR008001,19,15
12.45,12.535,SR008,33SR008001,19,15
12.535,12.59,SR008,33SR008001,19,15
12.535,12.59,SR008,33SR008001,19,15
12.59,13.796,SR008,33SR008001,19,15
12.59,13.796,SR008,33SR008001,19,15
13.796,13.96,SR008,33SR008001,19,15
13.796,13.96,SR008,33SR008001,19,15
13.96,14.04,SR008,33SR008001,19,15
13.96,14.04,SR008,33SR008001,19,15
14.04,15.3,SR008,33SR008001,19,15
