BLM,ELM,ID_NUMBER,Feat_Seq_Nbr,Feature_Type,Feat_Width,Feature_Composition
3.959,4.28,3301406001,9,20,3,15
3.959,4.28,3301406001,10,19,22,15
3.959,4.28,3301406001,11,5,12,15
3.959,4.28,3301406001,12,19,22,15
3.959,4.28,3301406001,13,20,3,15
3.959,4.28,3301406001,14,29,,40
4.28,4.51,3301406001,1,29,,41
4.28,4.51,3301406001,2,20,1,15
4.28,4.51,3301406001,4,19,22,15
4.28,4.51,3301406001,7,5,11,15
4.28,4.51,3301406001,10,19,22,15
4.28,4.51,3301406001,12,20,1,15
4.28,4.51,3301406001,13,29,,40
4.51,5.04,3301406001,8,29,,40
4.51,5.04,3301406001,9,20,2,15
4.51,5.04,3301406001,10,19,44,15
4.51,5.04,3301406001,12,20,2,15
4.51,5.04,3301406001,13,29,,40
5.04,7.253,3301406001,8,29,,40
5.04,7.253,3301406001,9,20,3,15
5.04,7.253,3301406001,10,19,24,15
5.04,7.253,3301406001,12,20,3,15
5.04,7.253,3301406001,13,29,,40
7.253,7.42,3301406001,8,29,,42
7.253,7.42,3301406001,9,20,13,15
7.253,7.42,3301406001,10,19,24,15
7.253,7.42,3301406001,12,20,12,15
7.253,7.42,3301406001,13,29,,42
7.42,7.52,3301406001,1,29,,40
7.42,7.52,3301406001,2,20,10,15
7.42,7.52,3301406001,4,19,12,15
7.42,7.52,3301406001,5,21,3,15
7.42,7.52,3301406001,6,29,,41
7.42,7.52,3301406001,7,40,5,21
7.42,7.52,3301406001,8,29,,41
7.42,7.52,3301406001,9,21,2,15
7.42,7.52,3301406001,10,19,12,15
7.42,7.52,3301406001,12,20,9,15
7.42,7.52,3301406001,13,29,,40
7.52,7.56,3301406001,1,29,,40
7.52,7.56,3301406001,2,20,9,15
7.52,7.56,3301406001,4,19,24,15
7.52,7.56,3301406001,6,29,,41
7.52,7.56,3301406001,7,40,20,26
7.52,7.56,3301406001,8,29,,41
7.52,7.56,3301406001,10,19,24,15
7.52,7.56,3301406001,12,20,9,15
7.52,7.56,3301406001,13,29,,40
7.56,7.86,3301406001,1,29,,40
7.56,7.86,3301406001,2,20,11,15
7.56,7.86,3301406001,4,19,24,15
7.56,7.86,3301406001,5,21,2,5
7.56,7.86,3301406001,6,29,,40
7.56,7.86,3301406001,7,40,150,26
7.56,7.86,3301406001,8,29,,40
7.56,7.86,3301406001,9,21,10,15
7.56,7.86,3301406001,10,19,11,15
7.56,7.86,3301406001,12,20,14,15
7.56,7.86,3301406001,13,29,,40
0,0.61,3301431001,8,29,,41
0,0.61,3301431001,10,19,22,15
0,0.61,3301431001,13,29,,45
0.61,0.784,3301431001,8,29,,40
0.61,0.784,3301431001,9,20,1,4
0.61,0.784,3301431001,10,19,20,15
0.61,0.784,3301431001,12,20,1,4
0.61,0.784,3301431001,13,29,,45
0.784,1.55,3301431001,8,29,,40
0.784,1.55,3301431001,9,20,2,4
0.784,1.55,3301431001,10,19,20,15
0.784,1.55,3301431001,12,20,2,4
0.784,1.55,3301431001,13,29,,40
0,2.54,3302154001,8,29,,40
0,2.54,3302154001,9,20,2,15
0,2.54,3302154001,10,19,22,15
0,2.54,3302154001,12,20,2,15
0,2.54,3302154001,13,29,,40
2.54,2.565,3302154001,8,29,,40
2.54,2.565,3302154001,9,20,2,15
2.54,2.565,3302154001,10,19,22,15
2.54,2.565,3302154001,12,20,4,15
2.54,2.565,3302154001,13,29,,40
2.565,2.57,3302154001,1,29,,42
2.565,2.57,3302154001,2,20,2,18
2.565,2.57,3302154001,3,19,12,15
2.565,2.57,3302154001,4,40,8,21
2.565,2.57,3302154001,5,19,12,15
2.565,2.57,3302154001,6,20,2,18
2.565,2.57,3302154001,7,29,,42
2.57,5.39,3302154001,1,29,,40
2.57,5.39,3302154001,2,20,1,15
2.57,5.39,3302154001,3,19,20,15
2.57,5.39,3302154001,4,20,1,15
2.57,5.39,3302154001,5,29,,40
0,2.677,3302156001,8,29,,40
0,2.677,3302156001,9,20,2,4
0,2.677,3302156001,10,19,20,15
0,2.677,3302156001,12,20,2,4
0,2.677,3302156001,13,29,,40
2.677,3.32,3302156001,8,29,,40
2.677,3.32,3302156001,9,20,2,4
2.677,3.32,3302156001,10,19,20,15
2.677,3.32,3302156001,12,20,2,4
2.677,3.32,3302156001,13,29,,40
0,0.09,3302158001,1,29,,40
