Index,GridBlock,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
180,246,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,1,1,0,0,0,0,0,0
181,247,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,248,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,2,0,3,1,0,1,0,1
183,249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,258,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
186,259,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,260,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,2,0,1,0
188,261,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0
189,262,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,3,0,0,1,1,0,0
190,263,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,264,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
192,265,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0
193,267,0,0,0,1,0,0,2,4,1,0,1,2,1,2,0,2,2,2,0,0,0,0,0,0
194,268,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0
195,269,0,0,0,0,1,0,1,0,0,1,5,0,1,4,3,5,5,0,2,0,0,0,0,1
196,270,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,2,3,1,0,1,0,0,0,0
197,271,0,0,0,0,0,1,1,0,0,1,0,3,0,1,0,0,2,2,0,0,0,0,1,0
198,272,0,0,0,0,1,0,0,1,0,0,0,1,2,2,3,3,3,6,0,0,0,0,0,0
199,274,0,1,0,0,0,0,0,0,4,1,0,1,1,1,3,2,4,8,1,0,0,0,0,0
200,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
201,278,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,279,0,0,0,0,0,0,0,1,2,4,2,9,9,2,4,8,7,3,2,2,0,0,0,1
203,280,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,2,0,2,0,0,0,0,0,0
204,281,0,0,0,0,0,1,0,4,5,0,4,0,2,0,2,1,1,2,0,1,0,0,0,0
205,282,0,0,0,0,0,0,0,0,1,3,2,0,1,2,4,2,1,1,0,1,1,0,0,0
206,283,0,0,0,0,0,0,0,1,0,0,1,0,3,3,4,0,2,0,0,0,0,0,0,0
207,284,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
208,285,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
209,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210,288,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
