Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Land_Use_Mode,Road_Count,Unix,precipIntensity,Prediction,Probability
20,1,0,1,0,1,0,0,0,0,38,26,25,7,19,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,38,26,25,7,19,1517803200,0.0,1,0.9999308586120605
0,1,0,1,0,1,0,0,0,0,39,27,25,7,12,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,39,27,25,7,12,1517734800,0.042,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,39,27,25,7,12,1517749200,0.179,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,39,27,25,7,12,1517763600,0.004,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,39,27,25,7,12,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,39,27,25,7,12,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,39,27,25,7,12,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,40,7,24,7,1,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,40,7,24,7,1,1517734800,0.052,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,40,7,24,7,1,1517749200,0.156,1,0.999930739402771
