BLM,ELM,Sp. Case,Co. Seq.,ID_NUMBER,Sub Route,Ad_Sys,Gov_Cont,Func_Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
0.064,0.369,0,1,3303592001,0,18,4,17,52,52,,
0.369,0.567,0,1,3303592001,0,18,4,17,52,52,,
0.567,1.167,0,1,3303592001,0,18,4,17,52,52,,
0,2.02,0,1,3303593001,0,18,4,16,52,52,,
2.02,2.227,0,1,3303593001,0,18,4,16,52,52,,
0,1.62,0,1,3303594001,0,18,4,16,52,52,,
1.62,2.26,0,1,3303594001,0,18,4,18,52,52,,
2.26,2.3,0,1,3303594001,0,18,4,18,52,52,,
2.3,3.32,0,1,3303594001,0,18,4,18,52,52,,
3.32,3.85,0,1,3303594001,0,18,4,18,52,52,,
3.85,4.28,0,1,3303594001,0,18,4,18,52,52,,
4.28,4.44,0,1,3303594001,0,18,4,18,52,52,,
0,0.17,0,1,3303595001,0,18,4,16,52,52,,
0.17,0.86,0,1,3303595001,0,18,4,16,241,52,,
0.86,1.32,0,1,3303595001,0,18,4,16,241,52,,
0,0.38,0,1,3303596001,0,18,4,16,241,52,,
0.38,0.614,0,1,3303596001,0,18,4,16,241,52,,
0.614,0.662,0,1,3303596001,0,18,4,16,52,52,,
0.662,0.699,0,1,3303596001,0,18,4,16,52,52,,
0.699,0.709,0,1,3303596001,0,18,4,16,241,52,,
0.709,0.815,0,1,3303596001,0,18,4,16,241,52,,
0.815,1.28,0,1,3303596001,0,18,4,16,52,52,,
0,0.61,0,1,3303597001,0,18,4,17,52,52,,
0.61,2.126,0,1,3303597001,0,18,4,17,52,52,,
2.126,2.264,0,1,3303597001,0,18,2,17,,52,,
2.264,2.28,0,1,3303597001,0,18,4,17,52,52,,
2.28,2.67,0,1,3303597001,0,18,4,17,52,52,,
0,0.14,0,1,3303598001,0,18,4,18,52,52,,
0.14,0.206,0,1,3303598001,0,18,4,18,52,52,,
0.206,0.533,0,1,3303598001,0,18,4,18,52,52,,
0.533,0.702,0,1,3303598001,0,18,4,18,52,52,,
0.702,2.49,0,1,3303598001,0,18,4,18,52,52,,
0,0.41,0,1,3303599001,0,18,4,17,52,52,,
0.41,0.68,0,1,3303599001,0,18,4,17,52,52,,
