Latitude,Longitude,Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Probability,Prediction
35.01090101,-85.1961837,16,4,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555099200,0,0.011085689,0
35.00827553,-85.18897274,20,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555113600,0,0.0041656196,0
35.00564964,-85.18176226,23,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555124400,0,0.0038574338,0
35.00302333,-85.17455225,0,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555041600,0,8.702278E-06,0
35.0003966,-85.16734272,4,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555056000,0,1.5169382E-05,0
34.99776946,-85.16013367,8,2,1,0,0,0,1,0,0,1,25,13,25,0,2,1,1555070400,0.079,0.0004949868,0
34.9951419,-85.1529251,12,3,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555084800,0,0.00067994,0
34.99251393,-85.145717,16,4,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555099200,0,0.0029884875,0
34.98988555,-85.13850938,20,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555113600,0,8.884072E-05,0
34.98725675,-85.13130223,23,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555124400,0,8.940697E-05,0
35.07710954,-85.35898538,0,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555041600,0,0.0012383461,0
35.07449345,-85.35176306,4,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555056000,0,0.0017628372,0
35.07187695,-85.34454123,8,2,1,0,0,0,1,0,0,1,26,14,25,1,5,1,1555070400,0.083,9.971857E-05,0
35.06926003,-85.33731987,12,3,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555084800,0,0.009022385,0
35.06664269,-85.33009898,16,4,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555099200,0,0.012714535,0
35.06402494,-85.32287857,20,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555113600,0,0.0028704405,0
35.06140676,-85.31565864,23,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555124400,0,0.002742678,0
35.05878817,-85.30843918,0,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555041600,0,4.0233135E-06,0
35.05616916,-85.30122019,4,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555056000,0,4.082918E-06,0
35.05354973,-85.29400169,8,2,1,0,0,0,1,0,0,1,27,15,25,0,4,9,1555070400,0.087,0.0011590421,0
35.05092988,-85.28678366,12,3,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555084800,0,1.9609928E-05,0
35.04830962,-85.2795661,16,4,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555099200,0,9.9658966E-05,0
35.04568894,-85.27234902,20,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555113600,0,5.096197E-06,0
35.04306784,-85.26513242,23,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555124400,0,5.275011E-06,0
35.04044633,-85.25791629,0,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555041600,0,3.874302E-06,0
35.03782439,-85.25070064,4,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555056000,0,3.993511E-06,0
35.03520205,-85.24348547,8,2,1,0,0,0,1,0,0,1,28,16,25,0,5,10,1555070400,0.09,0.0010674,0
35.03257928,-85.23627077,12,3,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555084800,0,2.1576881E-05,0
35.0299561,-85.22905655,16,4,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555099200,0,9.5665455E-05,0
35.0273325,-85.22184281,20,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555113600,0,4.7385693E-06,0
35.02470848,-85.21462954,23,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555124400,0,4.827976E-06,0
35.02208405,-85.20741675,0,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555041600,0,5.185604E-06,0
35.01945921,-85.20020443,4,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555056000,0,5.4240227E-06,0
35.01683395,-85.1929926,8,2,1,0,0,0,1,0,0,1,29,17,25,0,0,1,1555070400,0.094,2.9683113E-05,0
35.01420827,-85.18578124,12,3,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555084800,0,1.591444E-05,0
35.01158217,-85.17857035,16,4,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555099200,0,5.7160854E-05,0
35.00895566,-85.17135994,20,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555113600,0,7.7188015E-06,0
35.00632873,-85.16415001,23,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555124400,0,8.046627E-06,0
35.00370139,-85.15694056,0,1,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555041600,0,3.9339066E-06,0
35.00107363,-85.14973158,4,1,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555056000,0,4.1127205E-06,0
34.99844546,-85.14252308,8,2,1,0,0,0,1,0,0,1,30,18,25,0,0,9,1555070400,0.098,6.1661005E-05,0
34.99581688,-85.13531506,12,3,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555084800,0,6.854534E-06,0
