Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
674,28,8,0,7,17
675,29,8,0,7,6
676,30,8,0,0,1
677,31,8,0,2,2
678,32,8,0,-1,-1
679,33,8,0,2,1
680,34,8,0,2,1
681,35,8,1,0,6
682,36,8,0,7,7
683,37,8,0,7,6
684,38,8,0,7,4
685,39,8,0,0,1
686,40,8,0,7,5
687,41,8,0,7,14
688,42,8,0,7,3
689,43,8,0,7,1
690,44,8,0,7,3
691,45,8,0,7,5
692,8,7,0,7,7
693,9,7,0,0,1
694,10,7,0,7,1
695,11,7,1,0,2
696,12,7,0,7,12
697,13,7,0,7,15
698,14,7,0,7,13
699,15,7,0,7,17
700,16,7,0,7,16
701,17,7,0,7,15
702,18,7,1,7,10
703,19,7,1,7,6
704,20,7,1,0,2
705,21,7,0,2,3
706,22,7,0,7,3
707,23,7,0,-1,-1
708,24,7,0,-1,-1
709,25,7,0,7,7
710,26,7,0,7,12
711,27,7,0,7,8
712,28,7,0,7,8
713,29,7,0,0,1
714,30,7,0,-1,-1
715,31,7,0,-1,-1
716,32,7,0,-1,-1
717,33,7,0,-1,-1
718,34,7,0,2,1
719,35,7,1,0,2
720,36,7,1,0,8
721,37,7,0,0,7
722,38,7,0,0,6
723,39,7,0,0,3
724,40,7,0,0,3
725,41,7,0,7,10
726,42,7,0,7,4
727,43,7,0,0,2
728,44,7,0,2,4
729,45,7,0,2,4
730,11,6,1,7,3
731,12,6,0,7,10
732,13,6,0,7,20
733,14,6,0,7,16
734,15,6,0,7,15
735,16,6,0,7,12
736,17,6,1,2,11
737,18,6,1,2,9
738,19,6,0,7,9
739,20,6,0,7,3
740,21,6,0,7,4
741,22,6,0,7,9
742,23,6,0,7,1
743,24,6,0,-1,-1
744,25,6,0,-1,-1
745,26,6,0,7,4
746,27,6,0,0,4
747,28,6,0,4,2
748,29,6,0,0,1
749,30,6,0,-1,-1
750,31,6,0,-1,-1
751,32,6,0,-1,-1
752,33,6,0,-1,-1
753,34,6,0,-1,-1
754,35,6,0,-1,-1
755,36,6,1,0,1
756,37,6,1,0,3
757,38,6,0,7,6
758,39,6,0,7,5
759,40,6,0,7,5
760,41,6,0,0,4
761,42,6,0,7,5
762,43,6,0,0,3
763,44,6,0,7,3
764,45,6,0,7,7
765,13,5,0,7,18
766,14,5,0,7,21
767,15,5,0,7,22
768,16,5,1,7,5
769,17,5,1,2,5
770,18,5,0,2,3
771,19,5,0,7,6
772,20,5,0,7,3
773,21,5,0,7,3
774,22,5,0,7,11
775,23,5,0,7,5
776,24,5,0,-1,-1
777,25,5,0,-1,-1
778,26,5,0,9,3
779,27,5,0,7,7
780,28,5,0,0,5
781,29,5,0,0,2
782,30,5,0,-1,-1
783,31,5,0,0,1
784,32,5,0,0,1
785,33,5,0,-1,-1
786,34,5,0,-1,-1
787,35,5,0,-1,-1
788,36,5,0,-1,-1
789,37,5,1,7,4
790,38,5,1,7,10
791,39,5,0,7,17
792,40,5,0,0,5
793,41,5,0,7,3
794,42,5,0,7,15
795,43,5,0,-1,-1
796,44,5,0,7,3
797,45,5,0,7,3
798,15,4,1,7,12
799,16,4,1,7,10
800,17,4,0,7,13
801,18,4,0,2,8
802,19,4,0,7,1
803,20,4,0,7,3
804,21,4,0,7,6
805,22,4,0,7,9
806,23,4,0,7,8
807,24,4,0,7,1
808,25,4,0,-1,-1
809,26,4,0,0,2
810,27,4,0,7,10
811,28,4,0,7,15
812,29,4,0,7,7
813,30,4,0,0,3
814,31,4,0,0,1
815,32,4,0,-1,-1
816,33,4,0,-1,-1
817,34,4,0,-1,-1
818,35,4,0,-1,-1
819,36,4,0,-1,-1
820,37,4,0,7,4
821,38,4,1,7,10
822,39,4,1,0,11
823,40,4,1,0,6
824,41,4,0,0,8
825,42,4,0,7,20
826,43,4,0,7,4
827,44,4,0,7,7
828,45,4,0,7,3
829,18,3,0,4,9
830,19,3,0,7,1
831,20,3,0,7,5
